ticker,Goldilocks,Overheating,Stagflation,Recession,All
VFISX,-0.0086,-0.0393,-0.0327,-0.0283,-0.0744
VFITX,-0.036,-0.0869,-0.0686,-0.1334,-0.1721
VUSTX,-0.1222,-0.2015,-0.2634,-0.2809,-0.4917
VBMFX,-0.0156,-0.0987,-0.0837,-0.0927,-0.1761
VFICX,-0.0252,-0.1225,-0.1469,-0.1151,-0.2047
VWESX,-0.0635,-0.1916,-0.1777,-0.1767,-0.3684
VWEHX,-0.0656,-0.0782,-0.2821,-0.1069,-0.2929
RPIBX,-0.1262,-0.3059,-0.2202,-0.1746,-0.312
VIPSX,-0.0321,-0.0641,-0.1247,-0.0944,-0.1357
VFINX,-0.1538,-0.2975,-0.4957,-0.3322,-0.5097
