ticker,Goldilocks,Overheating,Stagflation,Recession,All
VFISX,-0.0039,-0.0094,-0.0071,-0.007,-0.0068
VFITX,-0.0109,-0.0253,-0.0204,-0.0234,-0.0206
VUSTX,-0.0271,-0.0445,-0.0457,-0.0508,-0.0463
VBMFX,-0.0096,-0.0258,-0.0197,-0.0172,-0.017
VFICX,-0.0119,-0.0343,-0.0302,-0.0201,-0.0224
VWESX,-0.027,-0.0352,-0.0466,-0.0379,-0.0361
VWEHX,-0.0163,-0.0362,-0.036,-0.0202,-0.0292
RPIBX,-0.0367,-0.0588,-0.0513,-0.0348,-0.0396
VIPSX,-0.0186,-0.0195,-0.0268,-0.0186,-0.0211
VFINX,-0.0561,-0.075,-0.0787,-0.0613,-0.0675
