,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,var_5,es_5,hit_rate,avg_turnover
60/40,0.0869,0.0922,0.6495,0.5938,0.2707,-0.3211,-0.0388,-0.0562,0.6773,0.0084
Equal-Weight,0.0656,0.0715,0.5348,0.4986,0.2689,-0.2439,-0.0291,-0.0452,0.6568,0.0139
Inverse-Vol,0.0605,0.0575,0.5662,0.5287,0.3669,-0.1649,-0.0224,-0.0363,0.6751,0.0132
ERC (Risk Parity),0.0602,0.0569,0.5679,0.5279,0.3689,-0.1633,-0.0213,-0.036,0.6751,0.0131
Min-Variance,0.0491,0.0382,0.5468,0.5142,0.415,-0.1182,-0.013,-0.0232,0.7162,0.0261
Max-Diversification,0.0557,0.0499,0.5528,0.5239,0.381,-0.1462,-0.0184,-0.0301,0.6728,0.0298
Max-Sharpe (MVO),0.0581,0.0483,0.6206,0.5643,0.3719,-0.1563,-0.0181,-0.0301,0.6979,0.0339
Regime ERC,0.0606,0.0575,0.5689,0.5289,0.3717,-0.1631,-0.0214,-0.0365,0.6728,0.017
Regime Max-Sharpe,0.0579,0.0522,0.5728,0.5064,0.3703,-0.1563,-0.0223,-0.0337,0.6911,0.0738
Regime Risk Overlay,0.0587,0.0533,0.576,0.5636,0.3546,-0.1655,-0.0206,-0.032,0.6613,0.0245
