ticker,Goldilocks,Overheating,Stagflation,Recession,All
SPY,0.1489,0.1228,-0.0077,0.1593,0.1092
EWA,-0.0179,0.0363,-0.0334,0.2066,0.0763
EWU,0.0794,0.0696,-0.0148,0.096,0.0594
IEV,0.0368,0.0018,-0.0138,0.1112,0.0515
EWJ,-0.0227,-0.0778,-0.0361,0.1259,0.0281
EEM,0.0458,-0.018,0.0108,0.207,0.1002
SHY,0.0152,-0.0047,0.0341,0.018,0.0196
IEF,0.083,-0.0207,0.0547,0.0241,0.0345
TLT,0.145,-0.0566,0.0708,0.0133,0.0362
BWX,0.0207,-0.0969,0.016,0.0175,0.0046
LQD,0.0784,-0.0276,0.0403,0.0579,0.0453
HYG,0.067,0.0097,0.0007,0.0791,0.0485
IGF,0.0687,0.0538,-0.0568,0.1059,0.0481
RWO,0.1617,0.0493,-0.1225,0.0924,0.0385
VNQ,0.1701,0.1505,-0.0325,0.1043,0.0754
DBC,-0.0548,0.1811,-0.0615,0.0733,0.0246
GLD,0.1227,-0.0188,0.2617,0.0503,0.109
BIL,0.0032,0.0037,0.0332,0.0079,0.0135
