ticker,Goldilocks,Overheating,Stagflation,Recession,All
SPY,0.6629,0.6444,0.5521,0.7107,0.653
EWA,0.4769,0.5227,0.5312,0.6815,0.5856
EWU,0.5846,0.5909,0.5104,0.6497,0.5939
IEV,0.5,0.5,0.5521,0.6081,0.5677
EWJ,0.4923,0.5,0.4688,0.6306,0.547
EEM,0.5,0.4688,0.55,0.626,0.5704
SHY,0.6176,0.4688,0.7683,0.6377,0.6538
IEF,0.5294,0.4688,0.5854,0.5362,0.542
TLT,0.5882,0.4062,0.561,0.5217,0.528
BWX,0.5882,0.3333,0.5574,0.6058,0.5605
LQD,0.5882,0.4688,0.5976,0.6377,0.6014
HYG,0.6471,0.5833,0.5902,0.6636,0.6332
IGF,0.5882,0.5417,0.5167,0.6408,0.5882
RWO,0.6471,0.625,0.4909,0.6505,0.6065
VNQ,0.6471,0.625,0.5455,0.6068,0.5962
DBC,0.5,0.5833,0.4928,0.5345,0.5226
GLD,0.6471,0.4062,0.6184,0.4741,0.531
BIL,0.3529,0.5,0.8689,0.5046,0.5789
