ticker,Goldilocks,Overheating,Stagflation,Recession,All
SPY,-0.1831,-0.1034,-0.5462,-0.2801,-0.5079
EWA,-0.3453,-0.1668,-0.6183,-0.3135,-0.6386
EWU,-0.2412,-0.096,-0.6061,-0.2999,-0.5989
IEV,-0.1773,-0.1303,-0.6297,-0.2635,-0.5933
EWJ,-0.4416,-0.267,-0.6485,-0.2667,-0.5778
EEM,-0.1791,-0.3128,-0.666,-0.2764,-0.6044
SHY,-0.005,-0.0329,-0.0271,-0.0109,-0.0535
IEF,-0.0467,-0.1174,-0.12,-0.0974,-0.2316
TLT,-0.1459,-0.2118,-0.2831,-0.31,-0.476
BWX,-0.1377,-0.1968,-0.1667,-0.1436,-0.3223
LQD,-0.0462,-0.1394,-0.151,-0.0691,-0.2326
HYG,-0.0321,-0.0792,-0.2978,-0.1164,-0.3025
IGF,-0.1016,-0.0856,-0.4937,-0.2958,-0.5092
RWO,-0.076,-0.1096,-0.5639,-0.3026,-0.5765
VNQ,-0.1108,-0.1104,-0.5711,-0.4681,-0.6828
DBC,-0.3903,-0.0879,-0.6332,-0.379,-0.7454
GLD,-0.1251,-0.1405,-0.2583,-0.3895,-0.4291
BIL,-0.0016,-0.0008,-0.0032,-0.0028,-0.0042
