ticker,Goldilocks,Overheating,Stagflation,Recession,All
SPY,0.8168,0.7645,-0.1681,1.0251,0.6054
EWA,-0.0948,0.1543,-0.1558,0.9755,0.3455
EWU,0.3713,0.4348,-0.1926,0.5724,0.2955
IEV,0.2507,-0.0218,-0.14,0.6422,0.2671
EWJ,-0.1188,-0.5171,-0.339,0.7457,0.1146
EEM,0.3037,-0.095,0.0311,1.0211,0.4826
SHY,1.1533,-1.2899,-0.0293,0.5223,0.1657
IEF,1.3056,-0.5297,0.2854,0.2307,0.2845
TLT,1.0265,-0.5441,0.2931,0.0792,0.2032
BWX,0.2171,-1.5049,-0.1051,0.1694,-0.0597
LQD,1.2845,-0.5267,0.1015,0.7211,0.3838
HYG,0.8186,0.0907,-0.1735,0.7709,0.3689
IGF,0.4636,0.5022,-0.3932,0.6536,0.2847
RWO,0.953,0.369,-0.5189,0.5225,0.2241
VNQ,0.9786,0.9043,-0.1333,0.5189,0.3667
DBC,-0.2015,1.091,-0.3686,0.4355,0.1359
GLD,0.8309,-0.1405,1.1201,0.3139,0.5925
BIL,-2.3756,-2.4771,-0.433,-0.5801,-0.6383
