ticker,Goldilocks,Overheating,Stagflation,Recession,All
SPY,-0.0517,-0.0515,-0.0827,-0.0612,-0.0696
EWA,-0.1257,-0.0698,-0.1153,-0.0853,-0.0889
EWU,-0.0857,-0.048,-0.0801,-0.0592,-0.0702
IEV,-0.093,-0.0559,-0.0993,-0.069,-0.0873
EWJ,-0.0978,-0.0881,-0.0761,-0.0676,-0.0811
EEM,-0.0833,-0.0709,-0.112,-0.077,-0.0899
SHY,-0.0025,-0.0058,-0.0063,-0.0039,-0.0047
IEF,-0.0169,-0.0303,-0.0314,-0.0257,-0.0301
TLT,-0.0398,-0.0478,-0.0594,-0.0581,-0.0567
BWX,-0.0389,-0.04,-0.0485,-0.0414,-0.0449
LQD,-0.0164,-0.0335,-0.0362,-0.024,-0.0321
HYG,-0.0271,-0.0262,-0.0705,-0.0255,-0.037
IGF,-0.0716,-0.0392,-0.0837,-0.0525,-0.0729
RWO,-0.0638,-0.0551,-0.1207,-0.0734,-0.0814
VNQ,-0.0662,-0.0513,-0.1065,-0.0726,-0.0825
DBC,-0.0999,-0.054,-0.1006,-0.0662,-0.0859
GLD,-0.0623,-0.0537,-0.0553,-0.0665,-0.0634
BIL,-0.0003,-0.0003,-0.0004,-0.0004,-0.0004
