,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,var_5,es_5,hit_rate,avg_turnover,tracking_error,info_ratio,up_capture,down_capture
60/40,0.0809,0.0902,0.7143,0.632,0.2802,-0.2889,-0.0404,-0.0579,0.677,0.0099,0.0,,1.0,1.0
Equal-Weight,0.0627,0.1018,0.4774,0.436,0.1904,-0.3294,-0.0415,-0.0674,0.6381,0.017,0.0511,-0.3124,0.9364,1.0639
Inverse-Vol,0.0537,0.076,0.4951,0.4509,0.2331,-0.2302,-0.0322,-0.0504,0.6381,0.0162,0.0449,-0.5981,0.7155,0.7572
ERC (Risk Parity),0.0492,0.0664,0.4922,0.4429,0.2511,-0.1958,-0.0261,-0.044,0.6381,0.0182,0.053,-0.6015,0.5974,0.5829
Min-Variance,0.0275,0.0338,0.2945,0.2832,0.2842,-0.0967,-0.0106,-0.022,0.6693,0.0177,0.0754,-0.7223,0.2418,0.1487
Max-Diversification,0.0397,0.0473,0.4734,0.4492,0.3237,-0.1227,-0.0176,-0.0305,0.6342,0.0229,0.066,-0.6363,0.3979,0.3092
Max-Sharpe (MVO),0.0564,0.0637,0.6203,0.5895,0.3845,-0.1466,-0.0232,-0.0412,0.6693,0.033,0.0676,-0.3723,0.5344,0.3788
Regime ERC,0.0495,0.0677,0.4894,0.4422,0.2531,-0.1958,-0.0262,-0.0454,0.6381,0.0286,0.0517,-0.6069,0.6123,0.6068
Regime Min-Variance,0.0283,0.036,0.3012,0.2838,0.293,-0.0967,-0.0118,-0.0238,0.6459,0.0429,0.073,-0.7336,0.2694,0.1924
Regime Max-Sharpe,0.0539,0.0693,0.54,0.514,0.3674,-0.1466,-0.0286,-0.0453,0.6498,0.0932,0.0717,-0.3792,0.5434,0.4206
Regime Risk Overlay,0.0461,0.0576,0.5062,0.4853,0.3068,-0.1503,-0.0252,-0.0365,0.6304,0.031,0.0654,-0.5405,0.4686,0.3698
